Name,Class,Mass_Msun,Spin_a,Spin_Known,Grav_Time_tg_s,Schwarzschild_Rad_km,r_ISCO_rg,f_ISCO_Schw_Hz,f_ISCO_Kerr_Hz,f_ratio,Orbital_Period_s,Regime,Invariant_fISCO_tg
XTE J1650-500,Stellar,5.1,0.80,Yes,2.512076e-05,1.506203e+01,2.9066,4.310825e+02,1.100789e+03,2.5535,9.084394e-04,XRB (High Spin),0.010829122239
GRO J1655-40,Stellar,6.3,0.70,Yes,3.103153e-05,1.860604e+01,3.3931,3.489716e+02,7.379276e+02,2.1146,1.355147e-03,Microquasar,0.010829122239
A0620-00,Stellar,6.6,0.12,Yes,3.250922e-05,1.949204e+01,5.6021,3.331092e+02,3.659088e+02,1.0985,2.732921e-03,XRB (Low Spin),0.010829122239
GX 339-4,Stellar,7,0.90,Yes,3.447948e-05,2.067338e+01,2.3209,3.140744e+02,1.040624e+03,3.3133,9.609622e-04,XRB (Jet Source),0.010829122239
V404 Cygni,Stellar,9,0.60,Yes,4.433076e-05,2.658005e+01,3.8291,2.442801e+02,4.436292e+02,1.8161,2.254135e-03,XRB (Variable),0.010829122239
XTE J1550-564,Stellar,9.1,0.34,Yes,4.482332e-05,2.687539e+01,4.8347,2.415957e+02,3.236611e+02,1.3397,3.089652e-03,XRB (Burst),0.010829122239
Gaia BH1,Stellar,9.6,0.00,Placeholder,4.728614e-05,2.835206e+01,6.0000,2.290126e+02,2.290126e+02,1.0000,4.366572e-03,Dormant,0.010829122239
LMC X-1,Stellar,10.9,0.92,Yes,5.368947e-05,3.219140e+01,2.1799,2.016992e+02,7.162979e+02,3.5513,1.396067e-03,High-Mass XRB,0.010829122239
GRS 1915+105,Stellar,12.4,0.99,Yes,6.107793e-05,3.662141e+01,1.4545,1.773001e+02,9.495680e+02,5.3557,1.053110e-03,Limit Breaker,0.010829122239
Cygnus X-1,Stellar,21.2,0.95,Yes,1.044236e-04,6.261079e+01,1.9372,1.037038e+02,4.179888e+02,4.0306,2.392409e-03,Standard Anchor,0.010829122239
Gaia BH3,Stellar,33,0.00,Placeholder,1.625461e-04,9.746020e+01,6.0000,6.662185e+01,6.662185e+01,1.0000,1.501009e-02,Dormant Giant,0.010829122239
GW150914,Merger,62,0.67,Yes,3.053897e-04,1.831070e+02,3.5281,3.546001e+01,7.142116e+01,2.0141,1.400145e-02,Vacuum Remnant,0.010829122239
GW190521,Merger,142,0.72,Yes,6.994409e-04,4.193742e+02,3.3008,1.548254e+01,3.387718e+01,2.1881,2.951840e-02,IMBH Seed,0.010829122239
M82 X-1,IMBH (Cand),400,0.50,Yes,1.970256e-03,1.181336e+03,4.2330,5.496302e+00,8.771639e+00,1.5959,1.140038e-01,ULX Source,0.010829122239
GCIRS 13E,IMBH (Cand),1300,0.50,Yes,6.403332e-03,3.839341e+03,4.2330,1.691170e+00,2.698966e+00,1.5959,3.705123e-01,Galactic Center?,0.010829122239
HLX-1,IMBH (Cand),20000,0.50,Yes,9.851280e-02,5.906679e+04,4.2330,1.099260e-01,1.754328e-01,1.5959,5.700189e+00,Best Candidate,0.010829122239
