name,M_Msun,a_star,lambda_Edd,sigma_kms,Re_kpc,t_g_s,r_s_km,f_ISCO_Schw_Hz,fISCO_tg_invariant,Class,Spin_Known,Regime,r_ISCO_rg,f_ISCO_Kerr_Hz,f_ratio,Name,Mass_Msun,Spin_a,Grav_Time_tg_s,Schwarzschild_Rad_km,Orbital_Period_s,Invariant_fISCO_tg,rinfl_pc,rinfl_over_Re,t_fb_days,tde_possible
XTE J1650-500,5.1,0.8,0.0,,,2.5120763459201298e-05,15.06203084854108,431.0825288787191,0.010829122239356614,Stellar,Yes,XRB (High Spin),2.9066438544641957,1100.7888505690937,2.5535454972678564,XTE J1650-500,5.1,0.8,2.5120763459201298e-05,15.06203084854108,0.0009084394336688756,0.010829122239356614,,,0.09259103628321697,True
GRO J1655-40,6.3,0.7,0.0,,,3.1031531331954544e-05,18.606038107021334,348.9715709970582,0.010829122239356611,Stellar,Yes,Microquasar,3.3931284701816304,737.9275768941136,2.114577914715965,GRO J1655-40,6.3,0.7,3.1031531331954544e-05,18.606038107021334,0.0013551465364784593,0.010829122239356611,,,0.10290918326369129,True
A0620-00,6.6,0.12,0.0,,,3.250922330014285e-05,19.492039921641396,333.10922686082836,0.010829122239356613,Stellar,Yes,XRB (Low Spin),5.602113877435633,365.9088464876193,1.0984650588513853,A0620-00,6.6,0.12,3.250922330014285e-05,19.492039921641396,0.0027329210802063387,0.010829122239356613,,,0.10533090714505407,True
GX 339-4,7.0,0.9,0.0,,,3.4479479257727274e-05,20.673375674468147,314.07441389735243,0.010829122239356614,Stellar,Yes,XRB (Jet Source),2.320883041761887,1040.6236727656465,3.313302920325592,GX 339-4,7.0,0.9,3.4479479257727274e-05,20.673375674468147,0.0009609621865917372,0.010829122239356614,,,0.10847580375364822,True
V404 Cygni,9.0,0.6,0.0,,,4.433075904564935e-05,26.580054438601906,244.28009969794076,0.010829122239356613,Stellar,Yes,XRB (Variable),3.829069418813151,443.6291955771936,1.8160676867487513,V404 Cygni,9.0,0.6,4.433075904564935e-05,26.580054438601906,0.0022541347818619733,0.010829122239356613,,,0.123,True
XTE J1550-564,9.1,0.34,0.0,,,4.482332303504545e-05,26.87538837680859,241.59570299796343,0.010829122239356613,Stellar,Yes,XRB (Burst),4.834689078844027,323.6610956701739,1.3396806799701328,XTE J1550-564,9.1,0.34,4.482332303504545e-05,26.87538837680859,0.0030896515317338225,0.010829122239356613,,,0.1236814456577865,True
Gaia BH1,9.6,0.0,0.0,,,4.728614298202597e-05,28.352058067842034,229.01259346681948,0.010829122239356613,Stellar,Placeholder,Dormant,6.0,229.01259346681948,1.0,Gaia BH1,9.6,0.0,4.728614298202597e-05,28.352058067842034,0.004366572094843706,0.010829122239356613,,,0.12703385375560328,True
LMC X-1,10.9,0.92,0.0,,,5.368947484417532e-05,32.19139926452897,201.699164888208,0.010829122239356613,Stellar,Yes,High-Mass XRB,2.179871207383951,716.297875117986,3.5513180013164405,LMC X-1,10.9,0.92,5.368947484417532e-05,32.19139926452897,0.0013960672434429372,0.010829122239356613,,,0.13536210695759726,True
GRS 1915+105,12.4,0.99,0.0,,,6.107793468511689e-05,36.6214083376293,177.3000723614086,0.010829122239356613,Stellar,Yes,Limit Breaker,1.4544979380596716,949.5679853518512,5.35571121153437,GRS 1915+105,12.4,0.99,6.107793468511689e-05,36.6214083376293,0.0010531104833209617,0.010829122239356613,,,0.14437589826560387,True
Cygnus X-1,21.2,0.95,0.0,,,0.00010442356575197402,62.61079489981782,103.70381590950318,0.010829122239356614,Stellar,Yes,Standard Anchor,1.9372378781396624,417.9887743986421,4.030601677795528,Cygnus X-1,21.2,0.95,0.00010442356575197402,62.61079489981782,0.002392408746954255,0.010829122239356614,,,0.18877817670482994,True
Gaia BH3,33.0,0.0,0.0,,,0.00016254611650071425,97.46019960820698,66.62184537216567,0.010829122239356611,Stellar,Placeholder,Dormant Giant,6.0,66.62184537216567,1.0,Gaia BH3,33.0,0.0,0.00016254611650071425,97.46019960820698,0.015010091576025241,0.010829122239356611,,,0.23552706850805918,True
GW150914,62.0,0.67,0.0,,,0.00030538967342558443,183.10704168814647,35.46001447228173,0.010829122239356614,Merger,Yes,Vacuum Remnant,3.5280980856575606,71.42115713026458,2.014132204770893,GW150914,62.0,0.67,0.00030538967342558443,183.10704168814647,0.014001453353326474,0.010829122239356614,,,0.32283432283448427,True
GW190521,142.0,0.72,0.0,,,0.0006994408649424675,419.37419225349674,15.482541530151176,0.010829122239356613,Merger,Yes,IMBH Seed,3.3007503843330626,33.877175609208955,2.1880887929953556,GW190521,142.0,0.72,0.0006994408649424675,419.37419225349674,0.029518399394787988,0.010829122239356613,,,0.4885713868003324,True
M82 X-1,400.0,0.5,0.0,,,0.001970255957584415,1181.335752826751,5.496302243203668,0.010829122239356611,IMBH (Cand),Yes,ULX Source,4.233002529530826,8.771639048937015,1.595916429047073,M82 X-1,400.0,0.5,0.001970255957584415,1181.335752826751,0.11400377904528394,0.010829122239356611,,,0.8200000000000001,True
GCIRS 13E,1300.0,0.5,0.0,,,0.00640333186214935,3839.3411966869417,1.691169920985744,0.010829122239356614,IMBH (Cand),Yes,Galactic Center?,4.233002529530826,2.6989658612113887,1.5959164290470726,GCIRS 13E,1300.0,0.5,0.00640333186214935,3839.3411966869417,0.3705122818971729,0.010829122239356614,,,1.4782760229402354,True
HLX-1,20000.0,0.5,0.0,,,0.09851279787922078,59066.78764133756,0.10992604486407336,0.010829122239356614,IMBH (Cand),Yes,Best Candidate,4.233002529530826,0.17543278097874027,1.5959164290470729,HLX-1,20000.0,0.5,0.09851279787922078,59066.78764133756,5.700188952264198,0.010829122239356614,,,5.79827560572969,True
Omega Cen,40000.0,0.0,0.0,,,0.19702559575844156,118133.57528267513,0.05496302243203668,0.010829122239356614,IMBH (Cand),Placeholder,Cluster Core,6.0,0.05496302243203667,0.9999999999999999,Omega Cen,40000.0,0.0,0.19702559575844156,118133.57528267513,18.19405039518211,0.010829122239356614,,,8.200000000000001,True
NGC 4395,360000.0,0.98,0.0,,,1.7732303618259742,1063202.1775440762,0.006107002492448519,0.010829122239356613,Dwarf AGN,Yes,Dwarf Seyfert,1.6140296676354695,0.02961662812962347,4.849617822531638,NGC 4395,360000.0,0.98,1.7732303618259742,1063202.1775440762,33.76481602238065,0.010829122239356613,,,24.599999999999998,True
M32,2500000.0,0.0,0.0,,,12.314099734902598,7383348.455167197,0.0008794083589125868,0.010829122239356613,Dwarf Ellip,Placeholder,Satellite Core,6.0,0.0008794083589125868,1.0,M32,2500000.0,0.0,12.314099734902598,7383348.455167197,1137.128149698882,0.010829122239356613,,,64.82669203345178,True
Sgr A*,4300000.0,0.5,0.0,,,21.180251544032465,12699359.342887577,0.0005112839296003412,0.010829122239356613,SMBH,Yes,Milky Way Core,4.233002529530826,0.0008159664231569315,1.5959164290470726,Sgr A*,4300000.0,0.5,21.180251544032465,12699359.342887577,1225.5406247368026,0.010829122239356613,,,85.01940954864365,True
NGC 1068,16000000.0,0.5,0.0,,,78.81023830337662,47253430.113070056,0.0001374075560800917,0.010829122239356614,SMBH,Yes,Seyfert 2,4.233002529530826,0.00021929097622342536,1.5959164290470729,NGC 1068,16000000.0,0.5,78.81023830337662,47253430.113070056,4560.151161811358,0.010829122239356614,,,164.0,True
M60-UCD1,21000000.0,0.0,0.0,,,103.43843777318183,62020127.02340446,0.00010469147129911748,0.010829122239356614,Dwarf Gal,Placeholder,Dense Core,6.0,0.00010469147129911747,0.9999999999999999,M60-UCD1,21000000.0,0.0,103.43843777318183,62020127.02340446,9551.876457470607,0.010829122239356614,,,187.88560349318942,True
NGC 4151,40000000.0,0.7,0.0,,,197.02559575844157,118133575.28267515,5.496302243203667e-05,0.010829122239356613,SMBH,Yes,Seyfert 1,3.3931284701816304,0.0001162235933608229,2.1145779147159645,NGC 4151,40000000.0,0.7,197.02559575844157,118133575.28267515,8604.104993514027,0.010829122239356613,,,259.3067681338071,False
NGC 4258,40000000.0,0.0,0.0,,,197.02559575844157,118133575.28267515,5.496302243203667e-05,0.010829122239356613,SMBH,Placeholder,Maser Anchor,6.0,5.496302243203667e-05,1.0,NGC 4258,40000000.0,0.0,197.02559575844157,118133575.28267515,18194.050395182112,0.010829122239356613,,,259.3067681338071,False
Centaurus A,55000000.0,0.5,0.0,,,270.9101941678571,162433666.0136783,3.9973107223299404e-05,0.010829122239356614,SMBH,Yes,Radio Galaxy,4.233002529530826,6.379373853772374e-05,1.5959164290470729,Centaurus A,55000000.0,0.5,270.9101941678571,162433666.0136783,15675.519618726543,0.010829122239356614,,,304.06413797092216,False
M31* (Andromeda),140000000.0,0.5,0.0,,,689.5895851545455,413467513.48936296,1.570372069486762e-05,0.010829122239356613,SMBH,Yes,Local Group,4.233002529530826,2.506182585410575e-05,1.5959164290470729,M31* (Andromeda),140000000.0,0.5,689.5895851545455,413467513.48936296,39901.32266584939,0.010829122239356613,,,485.11854221416854,False
Fornax A,150000000.0,0.5,0.0,,,738.8459840941559,443000907.3100318,1.4656805981876447e-05,0.010829122239356614,SMBH,Yes,Radio Loud,4.233002529530826,2.339103746383203e-05,1.5959164290470724,Fornax A,150000000.0,0.5,738.8459840941559,443000907.3100318,42751.417141981496,0.010829122239356614,,,502.1453972705515,False
